"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M3 General Purpose Medium","m3.medium","3.75 GiB","3 units","1 vCPUs","0","0","3 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","4 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","HVM, PV","No","$0.098000 hourly","$0.048 hourly","$0.127 hourly","$0.108 hourly","$0.167 hourly","$0.081 hourly","$0.13 hourly","$0.1 hourly","$0.184 hourly","$0.127 hourly","$0.353 hourly","$0.221 hourly","unavailable","unavailable","$0.135 hourly","$0.111 hourly","$0.547 hourly","$0.523 hourly","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GiB","2 units","1 vCPUs","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","410 GiB               HDD","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","PV","Yes","$0.117000 hourly","$0.056 hourly","$0.147 hourly","$0.116 hourly","$0.187 hourly","$0.092 hourly","$0.149 hourly","$0.115 hourly","$0.237 hourly","$0.155 hourly","$0.744 hourly","$0.543 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.022 hourly"
"M1 General Purpose Small","m1.small","1.7 GiB","1 units","1 vCPUs","0","0","1 units","Intel Xeon Family","unknown","unknown","unknown","unknown","160 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","No","8","2","No","No","No","No","PV","Yes","$0.058000 hourly","$0.028 hourly","$0.104 hourly","$0.088 hourly","$0.074 hourly","$0.052 hourly","$0.075 hourly","$0.057 hourly","$0.139 hourly","$0.094 hourly","$0.629 hourly","$0.473 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.011 hourly"
"T2 Small","t2.small","2.0 GiB","Base performance:                 20%","1 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","12","3","No","Yes","Yes","No","HVM","No","$0.029200 hourly","$0.0144 hourly","$0.083 hourly","$0.0744 hourly","$0.053 hourly","$0.028 hourly","$0.032 hourly","$0.0236 hourly","$0.1034 hourly","$0.093 hourly","unavailable","unavailable","unavailable","unavailable","$0.0908 hourly","$0.082 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.014600 hourly","$0.0072 hourly","$0.0716 hourly","$0.0672 hourly","$0.0216 hourly","$0.0162 hourly","$0.0162 hourly","$0.0118 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T1 Micro","t1.micro","0.613 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Variable","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","No","4","2","No","No","No","No","PV","No","$0.020000 hourly","$0.014 hourly","$0.08 hourly","$0.074 hourly","$0.03 hourly","$0.022 hourly","$0.02 hourly","$0.015 hourly","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                 5%","1 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.007300 hourly","$0.0036 hourly","unavailable","unavailable","$0.0158 hourly","$0.0126 hourly","$0.0081 hourly","$0.0059 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"A1 Medium","a1.medium","2.0 GiB","0 units","1 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","8","2","Yes","Yes","Yes","No","Unknown","No","unavailable","$0.0161 hourly","$0.0855 hourly","$0.0761 hourly","$0.0565 hourly","$0.0291 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"Z1D Large","z1d.large","16.0 GiB","15 units","2 vCPUs","0","0","7.5 units","Intel Xeon Platinum 8151","4.0 GHz","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2333.0 Mbps","291.0 MB/s","13333.0 IOPS","No","30","3","No","Yes","Yes","No","HVM","No","$0.226000 hourly","$0.118 hourly","$0.246 hourly","$0.178 hourly","$0.249 hourly","$0.143 hourly","$0.278 hourly","$0.21 hourly","$0.346 hourly","$0.277 hourly","$0.758 hourly","$0.69 hourly","unavailable","unavailable","$0.254 hourly","$0.185 hourly","$0.666 hourly","$0.598 hourly","unavailable","unavailable","0","unavailable"
"R5D Large","r5d.large","16.0 GiB","10 units","2 vCPUs","0","0","5 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","No","Yes","Yes","No","HVM","No","$0.174000 hourly","$0.091 hourly","$0.204 hourly","$0.151 hourly","$0.207 hourly","$0.116 hourly","$0.236 hourly","$0.183 hourly","$0.304 hourly","$0.25 hourly","$0.716 hourly","$0.663 hourly","unavailable","unavailable","$0.212 hourly","$0.158 hourly","$0.624 hourly","$0.571 hourly","unavailable","unavailable","0","unavailable"
"C5 High-CPU Large","c5.large","4.0 GiB","9 units","2 vCPUs","0","0","4.5 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.098000 hourly","$0.054 hourly","$0.145 hourly","$0.114 hourly","$0.185 hourly","$0.087 hourly","$0.177 hourly","$0.146 hourly","$0.245 hourly","$0.213 hourly","$0.657 hourly","$0.626 hourly","unavailable","unavailable","$0.153 hourly","$0.121 hourly","$0.565 hourly","$0.534 hourly","unavailable","unavailable","$0.00 hourly","unavailable"
"C5 High-CPU Large","c5d.large","4.0 GiB","9 units","2 vCPUs","0","0","4.5 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","50 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.112000 hourly","$0.061 hourly","$0.156 hourly","$0.121 hourly","$0.196 hourly","$0.094 hourly","$0.188 hourly","$0.153 hourly","$0.256 hourly","$0.22 hourly","$0.668 hourly","$0.633 hourly","unavailable","unavailable","$0.164 hourly","$0.128 hourly","$0.576 hourly","$0.541 hourly","unavailable","unavailable","0","unavailable"
"R5 Large","r5.large","16.0 GiB","9 units","2 vCPUs","0","0","4.5 units","Intel Xeon Platinum 8175","3.1 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","No","Yes","Yes","No","HVM","No","$0.152000 hourly","$0.079 hourly","$0.186 hourly","$0.139 hourly","$0.189 hourly","$0.104 hourly","$0.218 hourly","$0.171 hourly","$0.286 hourly","$0.239 hourly","$0.698 hourly","$0.651 hourly","unavailable","unavailable","$0.194 hourly","$0.147 hourly","$0.606 hourly","$0.559 hourly","unavailable","unavailable","0","unavailable"
"C4 High-CPU Large","c4.large","3.75 GiB","8 units","2 vCPUs","0","0","4 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","Yes","$0.115000 hourly","$0.063 hourly","$0.16 hourly","$0.123 hourly","$0.2 hourly","$0.096 hourly","$0.192 hourly","$0.155 hourly","$0.331 hourly","$0.226 hourly","$1.319 hourly","$1.068 hourly","unavailable","unavailable","$0.168 hourly","$0.131 hourly","$0.58 hourly","$0.543 hourly","unavailable","unavailable","$0.00 hourly","$0.026 hourly"
"M5 General Purpose Large","m5d.large","8.0 GiB","8 units","2 vCPUs","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","75 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.141000 hourly","$0.072 hourly","$0.173 hourly","$0.132 hourly","$0.213 hourly","$0.105 hourly","$0.205 hourly","$0.164 hourly","$0.273 hourly","$0.232 hourly","$0.685 hourly","$0.644 hourly","unavailable","unavailable","$0.181 hourly","$0.14 hourly","$0.593 hourly","$0.552 hourly","unavailable","unavailable","0","unavailable"
"M5 General Purpose Large","m5.large","8.0 GiB","8 units","2 vCPUs","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.120000 hourly","$0.061 hourly","$0.156 hourly","$0.121 hourly","$0.196 hourly","$0.094 hourly","$0.188 hourly","$0.153 hourly","$0.256 hourly","$0.221 hourly","$0.668 hourly","$0.633 hourly","unavailable","unavailable","$0.164 hourly","$0.129 hourly","$0.576 hourly","$0.541 hourly","unavailable","unavailable","0","unavailable"
"C3 High-CPU Large","c3.large","3.75 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","32 GiB               (2 * 16 GiB SSD)","No","No","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","Yes","No","Yes","No","HVM, PV","No","$0.132000 hourly","$0.073 hourly","$0.165 hourly","$0.133 hourly","$0.205 hourly","$0.109 hourly","$0.188 hourly","$0.165 hourly","$0.271 hourly","$0.192 hourly","$0.561 hourly","$0.406 hourly","unavailable","unavailable","$0.173 hourly","$0.134 hourly","$0.585 hourly","$0.546 hourly","unavailable","unavailable","unavailable","unavailable"
"I3 High I/O Large","i3.large","15.25 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","475 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.187000 hourly","$0.107 hourly","$0.216 hourly","$0.167 hourly","$0.256 hourly","$0.14 hourly","$0.248 hourly","$0.199 hourly","$0.319 hourly","$0.27 hourly","$0.728 hourly","$0.679 hourly","unavailable","unavailable","$0.224 hourly","$0.175 hourly","$0.636 hourly","$0.587 hourly","unavailable","unavailable","0","unavailable"
"R4 High-Memory Large","r4.large","15.25 GiB","7 units","2 vCPUs","0","0","3.5 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.160000 hourly","$0.084 hourly","$0.193 hourly","$0.144 hourly","$0.233 hourly","$0.117 hourly","$0.225 hourly","$0.176 hourly","$0.296 hourly","$0.247 hourly","$0.705 hourly","$0.656 hourly","unavailable","unavailable","$0.2006 hourly","$0.1516 hourly","$0.613 hourly","$0.564 hourly","unavailable","unavailable","0","unavailable"
"R3 High-Memory Large","r3.large","15.25 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","32 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","Yes","No","Yes","No","HVM","No","$0.200000 hourly","$0.105 hourly","$0.226 hourly","$0.165 hourly","$0.266 hourly","$0.138 hourly","$0.291 hourly","$0.238 hourly","$0.386 hourly","$0.272 hourly","$0.946 hourly","$0.833 hourly","unavailable","unavailable","$0.234 hourly","$0.162 hourly","$0.646 hourly","$0.574 hourly","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Large","m3.large","7.5 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","32 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","No","No","No","No","HVM, PV","No","$0.196000 hourly","$0.095 hourly","$0.193 hourly","$0.155 hourly","$0.233 hourly","$0.128 hourly","$0.259 hourly","$0.199 hourly","$0.367 hourly","$0.239 hourly","$0.704 hourly","$0.442 hourly","unavailable","unavailable","$0.202 hourly","$0.154 hourly","$0.614 hourly","$0.566 hourly","unavailable","unavailable","unavailable","unavailable"
"M4 General Purpose Large","m4.large","8.0 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Moderate","450.0 Mbps","56.25 MB/s","3600.0 IOPS","No","20","2","Yes","Yes","Yes","No","HVM","Yes","$0.125000 hourly","$0.062 hourly","$0.16 hourly","$0.122 hourly","$0.2 hourly","$0.095 hourly","$0.192 hourly","$0.154 hourly","$0.24 hourly","$0.194 hourly","$0.672 hourly","$0.634 hourly","unavailable","unavailable","$0.1676 hourly","$0.1296 hourly","$0.58 hourly","$0.542 hourly","unavailable","unavailable","$0.00 hourly","$0.030 hourly"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","420 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.296000 hourly","$0.111 hourly","$0.305 hourly","$0.171 hourly","$0.345 hourly","$0.147 hourly","$0.345 hourly","$0.249 hourly","$0.445 hourly","$0.323 hourly","$1.084 hourly","$0.728 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.062 hourly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","5 units","2 vCPUs","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","350 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","PV","Yes","$0.164000 hourly","$0.091 hourly","$0.19 hourly","$0.151 hourly","$0.23 hourly","$0.127 hourly","$0.21 hourly","$0.179 hourly","$0.31 hourly","$0.215 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.030 hourly"
"M1 General Purpose Large","m1.large","7.5 GiB","4 units","2 vCPUs","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","840 GiB               (2 * 420 GiB HDD)","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","No","No","No","No","PV","Yes","$0.233000 hourly","$0.112 hourly","$0.235 hourly","$0.172 hourly","$0.275 hourly","$0.148 hourly","$0.299 hourly","$0.232 hourly","$0.435 hourly","$0.284 hourly","$0.955 hourly","$0.665 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.044 hourly"
"T3 Large","t3.large","8.0 GiB","Base performance:                 60%","2 vCPUs                                                   for a                 7h 12m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","No","36","3","No","Yes","Yes","No","Unknown","No","$0.105600 hourly","$0.0522 hourly","$0.1432 hourly","$0.1122 hourly","$0.1462 hourly","$0.0772 hourly","$0.1108 hourly","$0.0798 hourly","$0.1784 hourly","$0.1474 hourly","unavailable","unavailable","unavailable","unavailable","$0.1508 hourly","$0.1198 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Large","t2.large","8.0 GiB","Base performance:                 60%","2 vCPUs                                                   for a                 7h 12m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","36","3","No","Yes","Yes","No","HVM","No","$0.116800 hourly","$0.0575 hourly","$0.1528 hourly","$0.1175 hourly","$0.1928 hourly","$0.0905 hourly","$0.1208 hourly","$0.0855 hourly","$0.1918 hourly","$0.1565 hourly","unavailable","unavailable","unavailable","unavailable","$0.1604 hourly","$0.1251 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T3 Small","t3.small","2.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","12","3","No","Yes","Yes","No","Unknown","No","$0.026400 hourly","$0.013 hourly","$0.0808 hourly","$0.073 hourly","$0.0518 hourly","$0.026 hourly","$0.0392 hourly","$0.0314 hourly","$0.1068 hourly","$0.099 hourly","unavailable","unavailable","unavailable","unavailable","$0.0884 hourly","$0.0806 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Medium","t3.medium","4.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","18","3","No","Yes","Yes","No","Unknown","No","$0.052800 hourly","$0.0261 hourly","$0.1016 hourly","$0.0861 hourly","$0.1046 hourly","$0.0511 hourly","$0.06 hourly","$0.0445 hourly","$0.1276 hourly","$0.1121 hourly","unavailable","unavailable","unavailable","unavailable","$0.1092 hourly","$0.0937 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Medium","t2.medium","4.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","18","3","No","Yes","Yes","No","HVM","No","$0.058400 hourly","$0.0287 hourly","$0.1064 hourly","$0.0887 hourly","$0.1464 hourly","$0.0617 hourly","$0.0644 hourly","$0.0467 hourly","$0.1358 hourly","$0.1181 hourly","unavailable","unavailable","unavailable","unavailable","$0.114 hourly","$0.0963 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T3 Micro","t3.micro","1.0 GiB","Base performance:                 20%","2 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","4","2","No","Yes","Yes","No","Unknown","No","$0.013200 hourly","$0.0065 hourly","$0.0704 hourly","$0.0665 hourly","$0.0104 hourly","$0.0105 hourly","$0.0196 hourly","$0.0157 hourly","$0.0872 hourly","$0.0833 hourly","unavailable","unavailable","unavailable","unavailable","$0.078 hourly","$0.0741 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Nano","t3.nano","0.5 GiB","Base performance:                 10%","2 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","4","2","No","Yes","Yes","No","Unknown","No","$0.006600 hourly","$0.0033 hourly","unavailable","unavailable","$0.0052 hourly","$0.0073 hourly","$0.0098 hourly","$0.0079 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5AD Large","r5ad.large","16.0 GiB","0 units","2 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","$0.159000 hourly","$0.083 hourly","$0.191 hourly","$0.143 hourly","$0.194 hourly","$0.108 hourly","$0.223 hourly","$0.175 hourly","$0.291 hourly","$0.243 hourly","$0.703 hourly","$0.655 hourly","unavailable","unavailable","$0.199 hourly","$0.151 hourly","$0.611 hourly","$0.563 hourly","unavailable","unavailable","0","unavailable"
"R5A Large","r5a.large","16.0 GiB","0 units","2 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","$0.136000 hourly","$0.071 hourly","$0.173 hourly","$0.131 hourly","$0.176 hourly","$0.096 hourly","$0.205 hourly","$0.163 hourly","$0.273 hourly","$0.231 hourly","$0.685 hourly","$0.643 hourly","unavailable","unavailable","$0.181 hourly","$0.139 hourly","$0.593 hourly","$0.551 hourly","unavailable","unavailable","0","unavailable"
"M5AD Large","m5ad.large","8.0 GiB","0 units","2 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","$0.129000 hourly","$0.066 hourly","$0.163 hourly","$0.126 hourly","$0.166 hourly","$0.091 hourly","$0.195 hourly","$0.158 hourly","$0.263 hourly","$0.225 hourly","$0.675 hourly","$0.638 hourly","unavailable","unavailable","$0.171 hourly","$0.133 hourly","$0.583 hourly","$0.546 hourly","unavailable","unavailable","0","unavailable"
"M5A Large","m5a.large","8.0 GiB","0 units","2 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","$0.108000 hourly","$0.055 hourly","$0.146 hourly","$0.115 hourly","$0.149 hourly","$0.08 hourly","$0.178 hourly","$0.147 hourly","$0.246 hourly","$0.214 hourly","$0.658 hourly","$0.627 hourly","unavailable","unavailable","$0.154 hourly","$0.122 hourly","$0.566 hourly","$0.535 hourly","unavailable","unavailable","0","unavailable"
"A1 Large","a1.large","4.0 GiB","0 units","2 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","unavailable","$0.0321 hourly","$0.111 hourly","$0.0921 hourly","$0.114 hourly","$0.0571 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5N Large","c5n.large","5.25 GiB","0 units","2 vCPUs","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","unavailable","$0.068 hourly","$0.168 hourly","$0.128 hourly","$0.171 hourly","$0.093 hourly","$0.2 hourly","$0.16 hourly","$0.268 hourly","$0.228 hourly","$0.68 hourly","$0.64 hourly","unavailable","unavailable","$0.176 hourly","$0.136 hourly","$0.588 hourly","$0.548 hourly","unavailable","unavailable","0","unavailable"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","28 units","4 vCPUs","0","0","7 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2333.0 Mbps","291.0 MB/s","13333.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.452000 hourly","$0.235 hourly","$0.432 hourly","$0.295 hourly","$0.497 hourly","$0.285 hourly","$0.556 hourly","$0.419 hourly","$0.624 hourly","$0.487 hourly","$1.036 hourly","$0.899 hourly","$2.056 hourly","$1.919 hourly","$0.44 hourly","$0.303 hourly","$0.852 hourly","$0.715 hourly","$1.872 hourly","$1.735 hourly","0","$0.093 hourly"
"R5D Extra Large","r5d.xlarge","32.0 GiB","19 units","4 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.348000 hourly","$0.182 hourly","$0.348 hourly","$0.242 hourly","$0.413 hourly","$0.232 hourly","$0.472 hourly","$0.366 hourly","$0.54 hourly","$0.433 hourly","$0.952 hourly","$0.846 hourly","$1.972 hourly","$1.866 hourly","$0.356 hourly","$0.249 hourly","$0.768 hourly","$0.662 hourly","$1.788 hourly","$1.682 hourly","0","$0.072 hourly"
