"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","347 units","96 vCPUs","0","0","3.615 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","Yes","$8.352000 hourly","$4.362 hourly","$7.042 hourly","$4.492 hourly","$7.062 hourly","$4.422 hourly","$11.328 hourly","$8.778 hourly","$12.95 hourly","$10.401 hourly","$22.848 hourly","$20.298 hourly","$47.328 hourly","$44.778 hourly","$8.534 hourly","$5.985 hourly","$18.432 hourly","$15.882 hourly","$42.912 hourly","$40.362 hourly","0","$0.270 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","347 units","96 vCPUs","0","0","3.615 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","Yes","$7.296000 hourly","$3.81 hourly","$6.178 hourly","$3.94 hourly","$6.198 hourly","$3.87 hourly","$10.464 hourly","$8.226 hourly","$12.086 hourly","$9.849 hourly","$21.984 hourly","$19.746 hourly","$46.464 hourly","$44.226 hourly","$7.67 hourly","$5.433 hourly","$17.568 hourly","$15.33 hourly","$42.048 hourly","$39.81 hourly","0","$0.270 hourly"
"R5 Metal","r5.metal","768.0 GiB","347 units","96 vCPUs","0","0","3.615 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","No","$7.296000 hourly","$3.81 hourly","$6.178 hourly","$3.94 hourly","$6.198 hourly","$3.87 hourly","$10.464 hourly","$8.226 hourly","$12.086 hourly","$9.849 hourly","$21.984 hourly","$19.746 hourly","$46.464 hourly","$44.226 hourly","$7.67 hourly","$5.433 hourly","$17.568 hourly","$15.33 hourly","$42.048 hourly","$39.81 hourly","0","unavailable"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","345 units","96 vCPUs","0","0","3.594 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$5.760000 hourly","$2.944 hourly","$4.738 hourly","$3.074 hourly","$4.708 hourly","$2.977 hourly","$9.024 hourly","$7.36 hourly","$10.646 hourly","$8.982 hourly","$20.544 hourly","$18.88 hourly","$45.024 hourly","$43.36 hourly","$6.23 hourly","$4.566 hourly","$16.128 hourly","$14.464 hourly","$40.608 hourly","$38.944 hourly","0","$0.270 hourly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","345 units","96 vCPUs","0","0","3.594 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","No","$5.760000 hourly","$2.944 hourly","$4.738 hourly","$3.074 hourly","$4.708 hourly","$2.977 hourly","$9.024 hourly","$7.36 hourly","$10.646 hourly","$8.982 hourly","$20.544 hourly","$18.88 hourly","$45.024 hourly","$43.36 hourly","$6.23 hourly","$4.566 hourly","$16.128 hourly","$14.464 hourly","$40.608 hourly","$38.944 hourly","0","unavailable"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","345 units","96 vCPUs","0","0","3.594 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$6.768000 hourly","$3.454 hourly","$5.554 hourly","$3.584 hourly","$5.524 hourly","$3.487 hourly","$9.84 hourly","$7.87 hourly","$11.462 hourly","$9.492 hourly","$21.36 hourly","$19.39 hourly","$45.84 hourly","$43.87 hourly","$7.046 hourly","$5.076 hourly","$16.944 hourly","$14.974 hourly","$41.424 hourly","$39.454 hourly","0","$0.270 hourly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","345 units","96 vCPUs","0","0","3.594 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","No","$6.768000 hourly","$3.454 hourly","$5.554 hourly","$3.584 hourly","$5.524 hourly","$3.487 hourly","$9.84 hourly","$7.87 hourly","$11.462 hourly","$9.492 hourly","$21.36 hourly","$19.39 hourly","$45.84 hourly","$43.87 hourly","$7.046 hourly","$5.076 hourly","$16.944 hourly","$14.974 hourly","$41.424 hourly","$39.454 hourly","0","unavailable"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","345 units","96 vCPUs","8","0","3.594 units","Intel Xeon Platinum 8175 (Skylake)","2.5 GHz","Yes","Yes","Yes","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","No","unavailable","$19.215 hourly","$31.342 hourly","$19.345 hourly","$31.362 hourly","$19.275 hourly","$35.628 hourly","$23.631 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","0 units","96 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","10000.0 Mbps","1250.0 MB/s","60000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","No","$7.632000 hourly","$3.981 hourly","$6.418 hourly","$4.111 hourly","$6.438 hourly","$4.041 hourly","$10.704 hourly","$8.397 hourly","$12.326 hourly","$10.02 hourly","$22.224 hourly","$19.917 hourly","$46.704 hourly","$44.397 hourly","$7.91 hourly","$5.604 hourly","$17.808 hourly","$15.501 hourly","$42.288 hourly","$39.981 hourly","0","unavailable"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","0 units","96 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","10000.0 Mbps","1250.0 MB/s","60000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","Yes","$5.184000 hourly","$2.627 hourly","$4.258 hourly","$2.757 hourly","$4.278 hourly","$2.687 hourly","$8.544 hourly","$7.043 hourly","$10.166 hourly","$8.665 hourly","$20.064 hourly","$18.563 hourly","$44.544 hourly","$43.043 hourly","$5.75 hourly","$4.249 hourly","$15.648 hourly","$14.147 hourly","$40.128 hourly","$38.627 hourly","0","$0.270 hourly"
"R5A 24xlarge","r5a.24xlarge","768.0 GiB","0 units","96 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","10000.0 Mbps","1250.0 MB/s","60000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","Yes","$6.528000 hourly","$3.423 hourly","$5.554 hourly","$3.553 hourly","$5.574 hourly","$3.483 hourly","$9.84 hourly","$7.839 hourly","$11.462 hourly","$9.461 hourly","$21.36 hourly","$19.359 hourly","$45.84 hourly","$43.839 hourly","$7.046 hourly","$5.045 hourly","$16.944 hourly","$14.943 hourly","$41.424 hourly","$39.423 hourly","0","$0.270 hourly"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","0 units","96 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","10000.0 Mbps","1250.0 MB/s","60000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","No","$6.192000 hourly","$3.161 hourly","$5.074 hourly","$3.291 hourly","$5.094 hourly","$3.221 hourly","$9.36 hourly","$7.577 hourly","$10.982 hourly","$9.2 hourly","$20.88 hourly","$19.097 hourly","$45.36 hourly","$43.577 hourly","$6.566 hourly","$4.784 hourly","$16.464 hourly","$14.681 hourly","$40.944 hourly","$39.161 hourly","0","unavailable"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","349 units","128 vCPUs","0","0","2.727 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","unknown","unknown","unknown","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","High","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$19.341000 hourly","$8.219 hourly","$13.468 hourly","$8.349 hourly","$13.438 hourly","$8.252 hourly","$19.226 hourly","$14.107 hourly","$21.88 hourly","$16.271 hourly","$34.586 hourly","$29.467 hourly","$67.226 hourly","$62.107 hourly","$15.501 hourly","$10.383 hourly","$28.698 hourly","$23.579 hourly","$61.338 hourly","$56.219 hourly","0","unavailable"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","340 units","128 vCPUs","0","0","2.656 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","Yes","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","unavailable","unavailable","$26.818 hourly","$16.576 hourly","$26.788 hourly","$16.479 hourly","$32.576 hourly","$22.334 hourly","$34.74 hourly","$24.498 hourly","$47.936 hourly","$37.694 hourly","$80.576 hourly","$70.334 hourly","$28.851 hourly","$18.609 hourly","$42.048 hourly","$31.806 hourly","$74.688 hourly","$64.446 hourly","0","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","0 units","448 vCPUs","0","0","0 units","Intel Xeon Scalable (Skylake) processors","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","150","5","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","0 units","448 vCPUs","0","0","0 units","Intel Xeon Scalable (Skylake) processors","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","150","5","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","0 units","448 vCPUs","0","0","0 units","Intel Xeon Scalable (Skylake) processors","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","150","5","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
